GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2015091308,2015-09-13,2,5,2,SD,DET,0,0,35,,1,,0,"2-J.LAMBO KICKS 65 YARDS FROM SD 35 TO END ZONE, TOUCHBACK.",0,,,2015,0,"UNDER CENTER","KICK OFF",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,35,OWN,0,,0,,0
2015091308,2015-09-13,4,14,28,SD,DET,2,7,50,,0,,0,"(14:28) (SHOTGUN) 17-P.RIVERS PASS SHORT RIGHT TO 39-D.WOODHEAD TO SD 47 FOR -3 YARDS (58-P.HUNT).",0,,,2015,-3,SHOTGUN,PASS,0,1,0,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,50,OPP,0,,0,,0
2015091309,2015-09-13,2,2,0,,BAL,0,0,0,,1,,0,"TWO-MINUTE WARNING",0,,,2015,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091309,2015-09-13,4,14,12,BAL,DEN,2,10,35,,0,,0,"(14:12) 5-J.FLACCO PASS INCOMPLETE SHORT MIDDLE TO 15-M.CAMPANARO.",0,,,2015,0,"UNDER CENTER",PASS,0,1,1,0,"SHORT MIDDLE",0,0,0,,0,0,0,0,0,0,,35,OWN,0,,0,,0
2015091309,2015-09-13,4,3,0,,BAL,0,0,0,,1,,0,"TIMEOUT #1 BY BAL AT 03:00.",0,,,2015,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091310,2015-09-13,2,13,41,OAK,CIN,4,6,47,,0,,0,"(13:41) 7-M.KING PUNTS 45 YARDS TO CIN 8, CENTER-59-J.CONDO, FAIR CATCH BY 19-B.TATE.",0,,,2015,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,47,OWN,0,,0,,0
2015091310,2015-09-13,3,7,50,CIN,OAK,1,10,15,,0,,0,"(7:50) 14-A.DALTON PASS SHORT RIGHT TO 18-A.GREEN TO CIN 23 FOR 8 YARDS (25-D.HAYDEN). PENALTY ON OAK-25-D.HAYDEN, DEFENSIVE HOLDING, 5 YARDS, ENFORCED AT CIN 15 - NO PLAY.",0,,,2015,8,"UNDER CENTER",PASS,0,1,0,0,"SHORT RIGHT",0,0,0,,0,0,0,1,0,0,,15,OWN,1,OAK,1,"DEFENSIVE HOLDING",5
2015091310,2015-09-13,3,0,47,OAK,CIN,2,6,32,,1,,0,"(:47) (NO HUDDLE, SHOTGUN) 14-M.MCGLOIN PASS SHORT MIDDLE TO 15-M.CRABTREE TO OAK 40 FOR 8 YARDS (59-E.LAMUR; 29-L.HALL).",0,,,2015,8,"NO HUDDLE SHOTGUN",PASS,0,1,0,0,"SHORT MIDDLE",0,0,0,,0,0,0,0,0,0,,32,OWN,0,,0,,0
2015091311,2015-09-13,1,10,16,TEN,TB,1,10,37,,0,,0,"(10:16) 20-B.SANKEY LEFT GUARD TO TEN 44 FOR 7 YARDS (36-D.SWEARINGER, 54-L.DAVID).",0,,,2015,7,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT GUARD",37,OWN,0,,0,,0
2015091311,2015-09-13,1,0,41,TB,TEN,2,7,93,,0,,0,"(:41) 3-J.WINSTON PASS SHORT MIDDLE TO 22-D.MARTIN TO TEN 5 FOR 2 YARDS (95-A.BLACKSON).",0,,,2015,2,"UNDER CENTER",PASS,0,1,0,0,"SHORT MIDDLE",0,0,0,,0,0,0,0,0,0,,7,OPP,0,,0,,0
